id,recommended,reviewer_segment
f23517f9-eea1-51db-bd8f-a5f4da25eada,0,material_and_quality
b2c3f7bb-14b4-5279-818e-2bbc4c06f2f7,1,fit_and_sizing
4b2612ea-7997-5680-ba32-ec409ae66eae,1,overall_wearability_and_value
6901cb23-fa1e-53b5-ae78-b471f020c649,1,fit_and_sizing
4d04ff85-163c-5e72-a917-4ab28083d342,1,overall_wearability_and_value
58ed57d4-01c2-57e9-b3c3-a844bfd8c212,1,overall_wearability_and_value
196a79c3-efde-5ef7-9d30-d1b9e9a7df81,1,fit_and_sizing
d2ba696d-6c66-52a3-b3c9-9328823078bc,1,overall_wearability_and_value
a55894c6-0e13-5cf3-a87b-ac4c2385d348,0,material_and_quality
380b8fd3-4ab0-53a4-99ca-1d9d3852f8b1,1,material_and_quality
a0e0a954-4375-525b-a791-565c4fbd9231,1,fit_and_sizing
02c06245-4a1e-55bc-8c9c-354ab3f7ea34,0,fit_and_sizing
e4b73300-1fa7-512d-8da2-fcd109800bc6,1,style_and_appearance
e526c973-c63b-5c2c-8a8f-da444b24afe5,0,fit_and_sizing
f76e7cf6-02d1-5b31-8e4e-a8679c0a0ab4,1,fit_and_sizing
709abe4a-24b1-5b32-96f5-dce6433ed132,0,overall_wearability_and_value
d0535ac5-8b12-5ad1-b755-db311fe91533,1,fit_and_sizing
aef17d40-45d4-5472-a669-82056ce6ea47,0,fit_and_sizing
cd52f78f-a8dc-54cc-b8ee-84ba4ef83290,0,fit_and_sizing
6313ff16-0e29-5f57-b3f8-4725dc16f88b,0,fit_and_sizing
064a3082-e8f7-522c-b913-3c811b4b927e,0,fit_and_sizing
e1aed248-9d6b-5c0c-bf6e-ed5224df9e82,0,fit_and_sizing
9803eb96-dbc3-5117-b2a9-4ea038d61238,0,fit_and_sizing
1b64b9bd-cb91-5045-b7df-faec01741473,1,style_and_appearance
2705b6ee-9ac8-58df-adc5-0bad62f039c2,1,material_and_quality
304a984b-9e2c-5867-b098-9cc70f228756,1,fit_and_sizing
370e6b09-dd97-559c-9691-b6d689287065,0,fit_and_sizing
dac49d3e-c20a-5e1e-9954-7ecea9fe339f,1,overall_wearability_and_value
2b03de35-d425-58ef-a5ae-bb6751cddac6,1,overall_wearability_and_value
fc77a422-b1fe-5888-9595-2af4b0a0c9a0,1,overall_wearability_and_value
6c0119a1-b432-5f9d-8732-749c3b5a252e,1,overall_wearability_and_value
3b6a3a62-0058-5990-86db-a9ecd4e1a88e,0,material_and_quality
54893ff4-e323-5283-b539-fff1e4e82c5c,0,fit_and_sizing
8f7b6d59-1b9e-5263-b4ac-b92152ff57f2,1,overall_wearability_and_value
abe5ddc6-76ad-5dda-8054-86afabb756aa,0,material_and_quality
5bd2e658-957d-53c0-8e34-1633dddfad95,1,material_and_quality
23c1f012-4eac-58f5-bf71-c66998524c65,0,material_and_quality
660ac480-3b19-59bf-b6ae-deac05403151,0,fit_and_sizing
b1606b0c-cf48-5f2a-b1aa-70984889d13f,1,fit_and_sizing
c491ad36-51e1-5537-862f-abcf4cf42dd9,1,material_and_quality
0282b0ac-f194-59fe-8219-ab9a74bfca20,0,style_and_appearance
368bebf4-9d43-5b49-a1a9-d63e253d287c,0,fit_and_sizing
a38548c1-3952-59d1-a000-3536e2327565,0,fit_and_sizing
17c548ff-6969-5aba-9e58-2bf685a4b6f6,1,fit_and_sizing
061a71b6-5514-5102-8349-66ad8bbe88b4,0,fit_and_sizing
7426c11b-058e-5442-99d9-7dc79ac4fd75,0,fit_and_sizing
84c40ad1-fdad-56a6-b996-9814c2537edf,1,overall_wearability_and_value
90051295-99ec-5e3b-a588-e05f98fa804b,1,fit_and_sizing
4feb55a0-8cf4-599e-9769-8ab66faf004d,1,fit_and_sizing
7be22ff5-78c3-5912-ad88-3e487aefe2ad,1,overall_wearability_and_value
40e3a40c-c230-5577-9c8e-045c122b45c0,0,material_and_quality
da3c7d2d-03aa-51e7-bb5b-a5b0fcf039f7,1,fit_and_sizing
4573af30-64ec-5a27-a075-132b60ac3abd,0,overall_wearability_and_value
6f1f3c27-61e1-55e3-96f5-0e6bfdccf7ff,0,fit_and_sizing
f5757d66-c0a9-58cb-9772-9bdd27c4d245,1,overall_wearability_and_value
86952697-c00a-5863-8062-1e64672bda60,0,fit_and_sizing
